date,amount,payee,category,hour_of_day
2024-01-01,67.23,Kroger Grocery,groceries,10
2024-01-03,12.50,CVS Pharmacy,pharmacy,14
2024-01-05,134.99,Electric Company,utilities,9
2024-01-07,23.45,Denny's Restaurant,dining,12
2024-01-09,45.00,Shell Gas Station,transport,11
2024-01-11,89.99,Walgreens,pharmacy,15
2024-01-13,34.56,Kroger Grocery,groceries,10
2024-01-15,156.78,Medicare Supplement,insurance,9
2024-01-17,23.00,McDonald's,dining,12
2024-01-19,67.89,Kroger Grocery,groceries,10
2024-01-21,12.99,Netflix,entertainment,20
2024-01-23,45.23,CVS Pharmacy,pharmacy,14
2024-01-25,890.00,Sunshine Retirement Rent,housing,9
2024-01-27,34.00,Shell Gas Station,transport,11
2024-01-29,78.45,Kroger Grocery,groceries,10
2024-02-01,56.78,Walgreens,pharmacy,15
2024-02-03,23.45,Denny's Restaurant,dining,12
2024-02-05,134.99,Electric Company,utilities,9
2024-02-07,67.23,Kroger Grocery,groceries,10
2024-02-09,45.00,Shell Gas Station,transport,11
2024-02-11,12.50,CVS Pharmacy,pharmacy,14
2024-02-13,890.00,Sunshine Retirement Rent,housing,9
2024-02-15,89.99,Walgreens,pharmacy,15
2024-02-17,34.56,Kroger Grocery,groceries,10
2024-02-19,23.00,McDonald's,dining,12
2024-02-21,156.78,Medicare Supplement,insurance,9
2024-02-23,45.23,CVS Pharmacy,pharmacy,14
2024-02-25,12.99,Netflix,entertainment,20
2024-02-27,67.89,Kroger Grocery,groceries,10
2024-03-01,78.45,Kroger Grocery,groceries,10
2024-03-03,23.45,Denny's Restaurant,dining,12
2024-03-05,134.99,Electric Company,utilities,9
2024-03-07,45.00,Shell Gas Station,transport,11
2024-03-09,56.78,Walgreens,pharmacy,15
2024-03-11,890.00,Sunshine Retirement Rent,housing,9
2024-03-13,67.23,Kroger Grocery,groceries,10
2024-03-15,12.50,CVS Pharmacy,pharmacy,14
2024-03-17,23.00,McDonald's,dining,12
2024-03-19,89.99,Walgreens,pharmacy,15
2024-03-21,34.56,Kroger Grocery,groceries,10
2024-03-23,156.78,Medicare Supplement,insurance,9
2024-03-25,45.23,CVS Pharmacy,pharmacy,14
2024-03-27,12.99,Netflix,entertainment,20
2024-03-29,67.89,Kroger Grocery,groceries,10
